Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh, 31-03-2020, M, 9.88, 4521537.00, 36.08
Andhra Pradesh, 30-04-2020, M, 32.30, 2544084.00, 26.97
Andhra Pradesh, 31-05-2020, M, 24.91, 3428356.00, 32.69
Andhra Pradesh, 30-06-2020, M, 5.86, 4954389.00, 37.61
Andhra Pradesh, 31-07-2020, M, 9.85, 4154900.00, 32.87
Andhra Pradesh, 31-08-2020, M, 9.54, 4489404.00, 35.31
Assam, 31-03-2020, M, 10.34, 1664145.00, 45.03
Assam, 30-04-2020, M, 8.37, 1454956.00, 38.45
Assam, 31-05-2020, M, 10.77, 1441722.00, 39.04
Assam, 30-06-2020, M, 3.42, 1551007.00, 38.73
Assam, 31-07-2020, M, 2.06, 1638101.00, 40.25
Assam, 31-08-2020, M, 8.21, 1571160.00, 41.10
Bihar, 31-03-2020, M, 15.73, 3049637.00, 37.29
Bihar, 30-04-2020, M, 58.77, 1400962.00, 34.94
Bihar, 31-05-2020, M, 37.87, 2207026.00, 36.45
Bihar, 30-06-2020, M, 12.45, 3124663.00, 36.54
Bihar, 31-07-2020, M, 18.08, 3022619.00, 37.70
Bihar, 31-08-2020, M, 21.50, 2766159.00, 35.93
Chandigarh, 31-03-2020, M, 21.43, 279839.00, 36.68
Chandigarh, 30-06-2020, M, 7.22, 306505.00, 33.80
Chandigarh, 31-07-2020, M, 8.26, 283948.00, 31.59
Chandigarh, 31-08-2020, M, 8.82, 286241.00, 31.97
Chhattisgarh, 31-03-2020, M, 8.21, 2407509.00, 47.39
Chhattisgarh, 30-04-2020, M, 20.13, 1066126.00, 24.06
Chhattisgarh, 31-05-2020, M, 24.10, 1276291.00, 30.24
Chhattisgarh, 30-06-2020, M, 27.07, 1602231.00, 39.41
Chhattisgarh, 31-07-2020, M, 5.37, 1945438.00, 36.79
Chhattisgarh, 31-08-2020, M, 4.21, 2156940.00, 40.20
Delhi, 31-03-2020, M, 17.09, 5401392.00, 42.82
Delhi, 30-04-2020, M, 16.51, 3003787.00, 23.59
Delhi, 31-05-2020, M, 45.78, 2343783.00, 28.28
Delhi, 30-06-2020, M, 18.11, 4306807.00, 34.32
Delhi, 31-07-2020, M, 20.43, 4148109.00, 33.94
Delhi, 31-08-2020, M, 13.62, 4728350.00, 35.55
Goa, 31-03-2020, M, 4.76, 277093.00, 36.05
Goa, 30-04-2020, M, 11.76, 318957.00, 44.74
Goa, 31-07-2020, M, 17.50, 281739.00, 42.11
Gujarat, 31-03-2020, M, 5.39, 10083026.00, 42.90
Gujarat, 30-04-2020, M, 25.94, 6701284.00, 36.33
Gujarat, 31-05-2020, M, 11.62, 6072776.00, 27.52
Gujarat, 30-06-2020, M, 4.54, 10574711.00, 44.26
Gujarat, 31-07-2020, M, 3.51, 10370153.00, 42.83
Gujarat, 31-08-2020, M, 2.99, 10205453.00, 41.82
Haryana, 31-03-2020, M, 27.14, 2275407.00, 36.73
Haryana, 30-04-2020, M, 46.89, 1606580.00, 35.48
Haryana, 31-05-2020, M, 38.46, 2013083.00, 38.27
Haryana, 30-06-2020, M, 29.41, 2304138.00, 38.09
Haryana, 31-07-2020, M, 34.19, 2360630.00, 41.74
Haryana, 31-08-2020, M, 36.05, 2519777.00, 45.73
Himachal Pradesh, 31-03-2020, M, 26.44, 221432.00, 48.74
Himachal Pradesh, 30-04-2020, M, 2.70, 146957.00, 24.42
Himachal Pradesh, 31-05-2020, M, 50.00, 134868.00, 43.55
Himachal Pradesh, 30-06-2020, M, 10.81, 224902.00, 40.66
Himachal Pradesh, 31-07-2020, M, 30.34, 202665.00, 46.84
Himachal Pradesh, 31-08-2020, M, 27.40, 227861.00, 50.46
Jammu & Kashmir, 31-03-2020, M, 14.29, 998103.00, 36.21
Jammu & Kashmir, 31-05-2020, M, 12.96, 937435.00, 33.33
Jammu & Kashmir, 31-07-2020, M, 7.89, 1103109.00, 36.89
Jammu & Kashmir, 31-08-2020, M, 13.84, 1031944.00, 36.81
Jharkhand, 31-03-2020, M, 16.40, 2480661.00, 43.34
Jharkhand, 30-04-2020, M, 61.48, 1054829.00, 39.92
Jharkhand, 31-05-2020, M, 70.17, 830347.00, 40.49
Jharkhand, 30-06-2020, M, 19.38, 2244460.00, 40.43
Jharkhand, 31-07-2020, M, 5.64, 2614441.00, 40.16
Jharkhand, 31-08-2020, M, 19.11, 2238173.00, 40.02
Karnataka, 31-03-2020, M, 4.92, 9225835.00, 41.55
Karnataka, 30-04-2020, M, 25.12, 7387995.00, 42.14
Karnataka, 31-05-2020, M, 15.88, 8669258.00, 43.90
Karnataka, 30-06-2020, M, 6.12, 8822411.00, 39.93
Karnataka, 31-07-2020, M, 1.55, 8907603.00, 38.34
Karnataka, 31-08-2020, M, 1.24, 9645425.00, 41.28
Kerala, 31-03-2020, M, 9.14, 4079775.00, 33.24
Kerala, 30-04-2020, M, 21.43, 2179106.00, 20.51
Kerala, 31-05-2020, M, 30.28, 2826118.00, 29.95
Kerala, 30-06-2020, M, 12.17, 4601293.00, 38.68
Kerala, 31-07-2020, M, 4.31, 4324372.00, 33.33
Kerala, 31-08-2020, M, 5.97, 4182798.00, 32.78
Madhya Pradesh, 31-03-2020, M, 4.80, 6386723.00, 36.68
Madhya Pradesh, 30-04-2020, M, 11.94, 4802873.00, 29.76
Madhya Pradesh, 31-05-2020, M, 40.49, 3879934.00, 35.49
Madhya Pradesh, 30-06-2020, M, 12.72, 6221562.00, 38.72
Madhya Pradesh, 31-07-2020, M, 5.46, 6256278.00, 35.86
Madhya Pradesh, 31-08-2020, M, 5.91, 6940301.00, 39.88
Maharashtra, 31-03-2020, M, 6.34, 17065830.00, 37.80
Maharashtra, 30-04-2020, M, 14.99, 12674451.00, 30.86
Maharashtra, 31-05-2020, M, 15.92, 12365754.00, 30.38
Maharashtra, 30-06-2020, M, 10.01, 16172690.00, 37.04
Maharashtra, 31-07-2020, M, 6.01, 16271148.00, 35.60
Maharashtra, 31-08-2020, M, 8.06, 16849149.00, 37.61
Meghalaya, 31-03-2020, M, 2.80, 289735.00, 55.64
Meghalaya, 30-04-2020, M, 17.39, 161939.00, 36.51
Meghalaya, 31-05-2020, M, 14.58, 222916.00, 48.48
Meghalaya, 31-07-2020, M, 4.35, 261505.00, 50.55
Meghalaya, 31-08-2020, M, 5.08, 250916.00, 48.76
Odisha, 31-03-2020, M, 3.96, 2457952.00, 39.93
Odisha, 30-04-2020, M, 20.50, 1303244.00, 25.53
Odisha, 31-05-2020, M, 10.00, 1975481.00, 34.12
Odisha, 30-06-2020, M, 2.18, 2221069.00, 35.24
Odisha, 31-07-2020, M, 0.00, 2391905.00, 37.05
Odisha, 31-08-2020, M, 1.11, 2370945.00, 37.07
Puducherry, 31-03-2020, M, 0.62, 278851.00, 34.12
Puducherry, 30-04-2020, M, 76.74, 68122.00, 35.54
Puducherry, 31-05-2020, M, 75.00, 64538.00, 31.25
Puducherry, 30-06-2020, M, 4.55, 234926.00, 29.73
Puducherry, 31-07-2020, M, 11.11, 247131.00, 33.51
Puducherry, 31-08-2020, M, 6.25, 233125.00, 29.91
Punjab, 31-03-2020, M, 9.97, 3601793.00, 41.29
Punjab, 30-04-2020, M, 1.13, 2298975.00, 23.95
Punjab, 31-05-2020, M, 20.54, 2682658.00, 34.71
Punjab, 30-06-2020, M, 10.55, 3047750.00, 34.96
Punjab, 31-07-2020, M, 8.97, 3540476.00, 39.82
Punjab, 31-08-2020, M, 12.96, 3483588.00, 40.90
Rajasthan, 31-03-2020, M, 18.54, 4964911.00, 39.71
Rajasthan, 30-04-2020, M, 35.53, 2932923.00, 29.57
Rajasthan, 31-05-2020, M, 25.35, 4225486.00, 36.71
Rajasthan, 30-06-2020, M, 13.04, 5275784.00, 39.26
Rajasthan, 31-07-2020, M, 18.51, 5223706.00, 41.38
Rajasthan, 31-08-2020, M, 25.02, 4977433.00, 42.75
Sikkim, 31-03-2020, M, 20.45, 86186.00, 50.57
Sikkim, 30-04-2020, M, 5.77, 81905.00, 40.31
Sikkim, 31-05-2020, M, 19.75, 75456.00, 43.32
Sikkim, 30-06-2020, M, 2.63, 76269.00, 35.85
Sikkim, 31-07-2020, M, 3.33, 101262.00, 47.62
Sikkim, 31-08-2020, M, 12.12, 83959.00, 43.14
Tamil Nadu, 31-03-2020, M, 6.46, 10982178.00, 36.17
Tamil Nadu, 30-04-2020, M, 45.55, 4632967.00, 26.17
Tamil Nadu, 31-05-2020, M, 25.95, 5733921.00, 23.77
Tamil Nadu, 30-06-2020, M, 24.93, 7741005.00, 31.60
Tamil Nadu, 31-07-2020, M, 10.84, 10213292.00, 35.04
Tamil Nadu, 31-08-2020, M, 3.61, 12603552.00, 39.93
Telangana, 31-03-2020, M, 6.10, 5313236.00, 43.65
Telangana, 30-04-2020, M, 10.50, 3378431.00, 29.05
Telangana, 31-05-2020, M, 36.57, 3108830.00, 37.63
Telangana, 30-06-2020, M, 6.92, 4577995.00, 37.68
Telangana, 31-07-2020, M, 2.19, 5819140.00, 45.47
Telangana, 31-08-2020, M, 1.95, 4577039.00, 35.59
Tripura, 31-03-2020, M, 25.69, 450271.00, 63.56
Tripura, 30-04-2020, M, 34.88, 296431.00, 47.65
Tripura, 31-05-2020, M, 16.78, 384999.00, 48.31
Tripura, 30-06-2020, M, 27.47, 391015.00, 56.17
Tripura, 31-07-2020, M, 24.88, 362177.00, 50.12
Tripura, 31-08-2020, M, 29.24, 348517.00, 51.08
Uttar Pradesh, 31-03-2020, M, 12.32, 13889632.00, 40.00
Uttar Pradesh, 30-04-2020, M, 26.94, 10944379.00, 37.74
Uttar Pradesh, 31-05-2020, M, 32.06, 11111486.00, 41.10
Uttar Pradesh, 30-06-2020, M, 13.05, 13208724.00, 38.09
Uttar Pradesh, 31-07-2020, M, 9.46, 12874444.00, 35.57
Uttar Pradesh, 31-08-2020, M, 6.11, 12846321.00, 34.15
Uttarakhand, 31-03-2020, M, 8.15, 889245.00, 33.33
Uttarakhand, 30-04-2020, M, 13.18, 748041.00, 29.59
Uttarakhand, 31-05-2020, M, 17.36, 778590.00, 32.27
Uttarakhand, 30-06-2020, M, 5.08, 989470.00, 35.61
Uttarakhand, 31-07-2020, M, 18.59, 829353.00, 34.71
Uttarakhand, 31-08-2020, M, 20.06, 810394.00, 34.45
West Bengal, 31-03-2020, M, 6.67, 10806105.00, 43.34
West Bengal, 30-04-2020, M, 15.63, 9299466.00, 41.20
West Bengal, 31-05-2020, M, 15.22, 9240903.00, 40.67
West Bengal, 30-06-2020, M, 9.86, 9088931.00, 37.57
West Bengal, 31-07-2020, M, 12.71, 9538312.00, 40.64
West Bengal, 31-08-2020, M, 18.66, 10022478.00, 45.76
India, 31-03-2020, M, 9.41, 125503217.00, 39.70
India, 30-04-2020, M, 24.95, 85198095.00, 32.47
India, 31-05-2020, M, 25.79, 89398995.00, 34.38
India, 30-06-2020, M, 12.02, 116560856.00, 37.73
India, 31-07-2020, M, 9.15, 120356634.00, 37.64
India, 31-08-2020, M, 9.83, 123799505.00, 38.93
